time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,RSI,%K,%D
2019-12-13T00:00:00Z,0.9987,0.9999,0.9981,0.9993,1.0001,0.9997,0.9993,0.9996,1.00125,1.0005699999999997,1.002362316939296,0.9987776830607036,854450.02562445,1824459.22423624,-0.00024883933502131857,-0.00022751568668566424,0.000021323648335654313,44.4695623224994,29.487179487179322,27.39638165170116
2019-12-14T00:00:00Z,0.9994,1.0013,0.9989,0.9996,1.0001,0.9997,0.9986,0.9996,1.00075,1.0005099999999998,1.0023472806021585,0.9986727193978411,776382.28405053,1839656.892803716,-0.00020840193062812278,-0.0002391787649494992,-0.000030776834321376395,46.46248642954091,32.69230769230797,30.49190761956751
2019-12-15T00:00:00Z,0.9995,0.9998,0.9988,0.9993,1.0001,0.9997,0.9996,0.9995,1.00075,1.000425,1.002320125328852,0.9985298746711478,490844.53181898,1715558.8024960917,-0.0001909964880074188,-0.00026952244433064987,-0.00007852595632323109,44.73355503309427,36.53846153846149,32.905982905982995
2019-12-16T00:00:00Z,0.9993,0.9999,0.9975,0.9983,1.0001,0.9997,0.9994,0.9995,1.00075,1.00029,1.0023770074296297,0.9982029925703702,3216051.0699107,1784645.3698738553,-0.0002331764999273184,-0.0003699965812323791,-0.0001368200813050607,39.462223897975484,30.12820512820491,33.11965811965819
2019-12-17T00:00:00Z,0.9982,1.0008,0.9977,0.9989,1.0000499999999999,1.0001,0.9994,0.9992500000000001,1.00075,1.0002,1.0023624060697072,0.9980375939302928,2450038.70276429,1790325.0467808421,-0.00020785265594871086,-0.0003966359012409493,-0.0001887832452922384,43.74553682179563,25.641025641025095,30.769230769230564
2019-12-18T00:00:00Z,0.9988,1.0011,0.997,1.0011,0.99915,0.9998499999999999,0.9998,0.9997250000000001,1.00075,1.0001849999999999,1.002317861929536,0.9980521380704637,2736638.60368818,1826891.932536584,-0.00003896422025163952,-0.00023748852060678782,-0.0001985243003551483,56.0302152850889,38.07917228969925,31.28280101964315
2019-12-19T00:00:00Z,1.001,1.0014,0.997,0.9997,0.9992000000000001,0.9998499999999999,0.9998,0.999525,1.00075,1.000125,1.0022414829344484,0.9980085170655515,2379522.79206635,1882111.2045506642,-0.000018600473051855762,-0.000221774891669968,-0.00020317441861811224,48.73646525802594,48.7404408457055,37.486879592143346
2019-12-20T00:00:00Z,0.9997,1.0008,0.9985,1.0003,0.9992000000000001,0.9998499999999999,0.999,0.999525,1.00075,1.0000899999999997,1.0021702884443453,0.9980097115556541,2174583.14213931,1959868.775600987,0.00003528109739732121,-0.00015907304687146073,-0.00019435414426878194,51.64186583062672,59.06432748538173,48.627980206928896
2019-12-21T00:00:00Z,1.0003,1.0014,0.9999,1.0004,0.9992000000000001,0.9998499999999999,0.9991,0.999325,1.00075,1.0000499999999997,1.0020733635392307,0.9980266364607686,1365453.6420326,1992279.2701188358,0.00007535718448684357,-0.00010015766366022749,-0.00017551484814707106,52.128838810155344,54.97076023391884,54.25850952166876
2019-12-22T00:00:00Z,1.0003,1.0009,0.9998,1.0006,0.9992000000000001,0.9998499999999999,0.9983,0.9992500000000001,1.00075,1.0000099999999996,1.001955147812597,0.9980648521874023,448618.02243309,1967271.6470802806,0.00011088941947028601,-0.00003690307380921354,-0.00014779249327949955,53.145099272344126,60.609857978279194,58.214981899193326
2019-12-23T00:00:00Z,1.0007,1.0015,0.9988,0.9996,0.99925,0.9998499999999999,0.9994,0.9992500000000001,1.00075,0.9999349999999996,1.001821027575115,0.9980489724248842,1750558.90694771,1964777.5892633155,0.00006487706151187401,-0.00006669616638965703,-0.00013157322790153104,47.69326314951816,60.57087162350339,58.717163278567206
2019-12-24T00:00:00Z,0.9995,1.0001,0.9975,0.9992,0.99925,0.9998499999999999,0.9991,0.9992500000000001,1.00075,0.9998949999999995,1.0018075637283197,0.9979824362716793,1424710.55924197,1930211.5392518882,0.000008308906658930336,-0.00012118709457786814,-0.00012949600123679847,45.67488868734832,56.984126984126796,59.38828552863652
2019-12-25T00:00:00Z,0.9992,0.9997,0.9982,0.9986,0.99925,0.9998499999999999,0.998,0.9992500000000001,1.00075,0.9998049999999996,1.001782346710726,0.9978276532892733,894407.30123392,1842681.66781883,-0.0000646924914784437,-0.0002103616155848531,-0.0001456691241064094,42.75222168845456,47.40740740740754,54.9874686716793
2019-12-26T00:00:00Z,0.9986,0.9991,0.997,0.9986,0.99925,0.9998499999999999,0.9982,0.9994500000000001,1.00075,0.9996649999999996,1.0015658156185223,0.9977641843814767,1267441.8228676,1766183.8229928457,-0.00010572902865755082,-0.00027783040992834795,-0.00017210138127079713,42.75222168845455,40.00000000000023,48.13051146384492
2019-12-27T00:00:00Z,0.9983,0.9988,0.996,0.9987,0.99875,0.99935,0.9972,0.9998250000000001,1.00075,0.9995249999999996,1.0012707090291804,0.9977792909708187,2275376.2629804,1858544.999855503,-0.00011795666293686052,-0.0003195472099418728,-0.00020159054700501228,43.45164472506915,40.0673400673407,42.49158249158288
2019-12-28T00:00:00Z,0.9988,0.9995,0.9971,0.9979,0.99875,0.99935,0.9971,0.9998250000000001,1.00075,0.9993349999999996,1.000911419999166,0.9977585800008333,1558816.41525151,1906751.8919043164,-0.00016865349254656655,-0.00041240741268822045,-0.0002437539201416539,39.31356896590031,39.73063973064013,39.932659932660414
2019-12-29T00:00:00Z,0.9979,0.9994,0.9974,0.9988,0.99875,0.99935,0.9982,0.9998250000000001,1.00075,0.9993149999999996,1.0009078276785741,0.9977221723214251,1012672.21555088,1845919.2770982832,-0.00013193003302180094,-0.00040866646141890506,-0.0002767364283971041,45.59123608218978,44.84848484848502,41.54882154882201
2019-12-30T00:00:00Z,0.9987,0.9988,0.9964,0.9966,0.99875,0.99935,0.9978,0.999875,1.00075,0.9991649999999996,1.001141132589968,0.9971888674100312,2065804.47911148,1789182.9017468882,-0.00023987239691382453,-0.0005765769245393848,-0.0003367045276255603,35.8332933482406,32.121212121212494,38.900112233445945
2019-12-31T00:00:00Z,0.9966,0.998,0.996,0.9963,0.99875,0.99935,0.9979,0.999875,1.00075,0.9990249999999998,1.001363268592941,0.9966867314070588,783172.6586432,1647046.260621268,-0.00031102970023183616,-0.0007254916529153554,-0.0004144619526835193,34.741333573121224,22.424242424242625,33.13131313131345
2020-01-01T00:00:00Z,0.9962,0.9978,0.996,0.997,0.99805,0.99935,0.9976,0.999875,1.00075,0.9989399999999998,1.0014375187710236,0.996442481228976,270418.39537218,1509798.0916864695,-0.0002908740933859296,-0.0007780545694159313,-0.0004871804760300017,39.38301882619026,11.515151515151693,22.020202020202344
2020-01-02T00:00:00Z,0.997,0.9979,0.9952,0.997,0.99745,0.99895,1.0004,0.999875,1.00075,0.9988249999999997,1.0014539731857548,0.9961960268142446,974900.86459215,1515820.6336348546,-0.0002585513174666338,-0.000810369622863294,-0.0005518183053966601,39.38301882619026,17.40259740259735,17.113997113997296
2020-01-03T00:00:00Z,0.997,0.9995,0.996,0.9984,0.99735,0.9988999999999999,0.9979,1.000225,1.00075,0.9987649999999997,1.0013751915660951,0.9961548084339042,1989927.70345335,1576497.9046049954,-0.00013036278891707248,-0.0007147717915430007,-0.0005844090026259283,47.967457518686054,32.515632515632355,20.47779381112721
2020-01-04T00:00:00Z,0.9984,0.9994,0.9976,0.9979,0.99735,0.9983500000000001,0.9985,1.000225,1.00075,0.9986949999999997,1.0013190998480257,0.9960709001519736,741408.69033083,1589026.112530588,-0.00006976375642311905,-0.0006716136981548271,-0.000601849941731708,45.48970799967674,40.74074074074064,30.21965688632352
2020-01-05T00:00:00Z,0.9983,0.9998,0.998,0.9991,0.9975,0.9983500000000001,0.9983,1.000025,1.00075,0.9987349999999996,1.0013581850894175,0.9961118149105815,806316.9220841,1468539.405139258,0.00005394382215351268,-0.0005344201640398172,-0.0005883639861933299,51.910086371096234,51.851851851851556,41.70274170274159
2020-01-06T00:00:00Z,0.9991,1.0004,0.9973,1.0004,0.9978,0.9983500000000001,0.999,0.9999,1.00075,0.9988099999999995,1.001531690653588,0.996088309346411,1198828.14245671,1405978.8771238788,0.00021698047661233844,-0.0003171383904279068,-0.0005341188670402452,57.719931861978324,68.25396825396828,53.61552028218691
2020-01-07T00:00:00Z,1.0004,1.0015,0.9985,1.0005,0.9983500000000001,0.9983500000000001,0.9987,0.9999,1.00075,0.9987799999999994,1.001411805466676,0.9961481945333229,1733662.97661809,1355830.0957703744,0.00031904544409329106,-0.00013531206192363143,-0.0004543575060169225,58.13888238389837,82.01058201058153,67.37213403880054
2020-01-08T00:00:00Z,1.0004,1.0015,0.9989,0.9993,0.9983500000000001,0.9983500000000001,0.9986,0.9999,1.00075,0.9987599999999995,1.0013695210315474,0.9961504789684517,1734558.11410094,1323581.8618721038,0.00029385399307836125,-0.00008704001466897093,-0.0003808940077473322,51.53909728671135,83.06878306878247,77.7777777777775
2020-01-09T00:00:00Z,0.9994,1.0003,0.9984,0.9986,0.9983500000000001,0.9983500000000001,0.9969,0.9999,1.00075,0.9986749999999995,1.0011872698928697,0.9961627301071294,1733409.05115028,1301523.1573226524,0.00022146034102386739,-0.00010406858146749798,-0.00032552892249136536,48.1083770913223,67.72486772486725,77.60141093474383
2020-01-10T00:00:00Z,0.9986,1.0007,0.9973,0.9996,0.9983500000000001,0.9983500000000001,0.9993,0.9999,1.00075,0.9986349999999996,1.0010600979388888,0.9962099020611103,1369975.91974029,1301749.271208037,0.00023126153425784182,-0.000036452004669063065,-0.0002677135389269049,52.92885299177963,62.96296296296308,71.25220458553768
