,BTC_open,BTC_close,BTC_vol,ETH_open,ETH_close,ETH_vol,XRP_open,XRP_close,XRP_vol
30/06/2019,11921,10809,19091.99072,317.7811735,290.8,156203.3499,0.42595,0.3943,25400945.11
1/07/2019,10800,10640,24903.27497,290.8,295.5,136696.4825,0.3943,0.40806,25451176.26
2/07/2019,10641,10885,28825.46297,295.58,292.9359428,148138.6893,0.40798,0.39991,26298105.6
3/07/2019,10884,11982,28089.77884,292.7133682,302.22,120176.253,0.40003,0.40536,15156796.13
4/07/2019,11983,11162.48569,19843.20644,302.2190117,283.19,80637.48589,0.406,0.38787,12797359.06
5/07/2019,11162,11003,16366.15703,283.19,287.95,53839.85018,0.38781,0.37948,16316851.47
6/07/2019,10999,11281,12208.08576,288.01,288.61,69746.90448,0.37986,0.39155,19316799.4
7/07/2019,11276,11485,8423.294244,288.61,306.54,109035.4558,0.39149,0.39885,13343353.24
8/07/2019,11485,12301,17838.61548,306.57,313.39,114327.5837,0.39883,0.403,11533269.65
9/07/2019,12301.52191,12558,19166.99305,313.44,307.86,95199.02946,0.40247,0.39437,18715661.86
10/07/2019,12564,12093,36055.91659,307.84,288.7123753,145868.7973,0.3944,0.36104,50713856.38
11/07/2019,12093,11340,21451.45368,288.72,268.38,147559.2815,0.36103,0.32876,41516261.04
12/07/2019,11340,11765,12247.89829,268.54,274.73,42048.33907,0.32876,0.34339,30346834.28
13/07/2019,11765.10527,11312,14722.69125,274.87,268.07,58089.11025,0.34345,0.3309,21740276.06
14/07/2019,11312,10204,22495.76149,268.07,226.19,216838.2283,0.33041,0.30422,32596157.82
15/07/2019,10199,10820.87573,21436.21557,225.99,227.7101167,290968.6481,0.30381,0.31216,39219608.13
16/07/2019,10820,9423.8,26182.03888,227.59,198.57,315822.297,0.31218,0.29435,36936326.29
17/07/2019,9420,9682.6,23124.32206,198.67,211.06,208201.0061,0.295,0.31071,41249302.57
18/07/2019,9686.1,10622,28793.80702,211.1254472,225.74,168130.9995,0.31071,0.32033,22387037.17
19/07/2019,10622.01378,10518,13155.63027,225.82,221.16,80000.06565,0.32025,0.31941,17960886.34
20/07/2019,10517.58324,10740,12131.43744,221.15,228.44,87775.0178,0.31939,0.33278,21068141.58
21/07/2019,10740,10569.43491,8247.37818,228.3,225.04,83554.89702,0.3327,0.33044,16228742.36
22/07/2019,10570,10328,10895.84465,225.18,217.38,90243.16339,0.33042,0.32076,15177418.4
23/07/2019,10330.88094,9859,9766.29494,217.28,212.34,87763.21013,0.32018,0.30799,15790242.61
24/07/2019,9859,9768.968112,11574.75756,212.2119451,216.7,129494.0375,0.30833,0.31575,13258901.83
25/07/2019,9773,9890.1,9187.259976,216.65,219.44,75291.25642,0.31546,0.31358,11692550.49
26/07/2019,9889.984952,9840.3,5116.22858,219.4,219.06,52543.60079,0.31358,0.32342,10100749.96
27/07/2019,9840.367454,9469,11774.25218,219.02,207.07,111737.6398,0.32338,0.30945,18449727.69
28/07/2019,9465.6,9519,7754.227961,207.2,210.92,67034.87403,0.30929,0.3114,11332016.31
29/07/2019,9519,9507,5696.48725,211.22,210.8,42643.72653,0.3115,0.30991,6235276.29
30/07/2019,9503,9588.996764,5183.473115,210.81,209.74,47178.19641,0.30991,0.3186,8582088.807
31/07/2019,9588.9,10088,7939.397982,209.74,218.76,58741.3,0.31873,0.31996,9444887.957
1/08/2019,10087.9897,10400,7697.289599,218.74,217.56,43342.44565,0.31996,0.3163,6061546.959
2/08/2019,10400,10520,8439.878731,217.56,217.56,52236.19471,0.3163,0.311,6771920.296
3/08/2019,10519,10822,7421.364094,217.6,222,45822.48674,0.31134,0.31595,7440465.368
4/08/2019,10822,10973,9280.210576,222,222.41,33814.65907,0.31601,0.31921,12238392.52
5/08/2019,10973,11824,16129.41305,222.45,233.6241024,153855.384,0.31921,0.3224,17710738.72
6/08/2019,11828,11472,19334.13853,233.6241024,226,119170.5078,0.32258,0.31155,15740629.3
7/08/2019,11471.20065,11999,13658.90011,225.88,226.35,59059.24631,0.31133,0.31175,10679432.93
8/08/2019,11999,12050,10987.3426,226.35,222.04,67150.45534,0.3118,0.30915,8779054.56
9/08/2019,12050,11891,7808.287437,222,210.8,85064.67578,0.30922,0.29716,14674574.57
10/08/2019,11891,11311.40028,9023.805727,210.82,206.57,51014.56836,0.29721,0.29939,13854097.09
11/08/2019,11311,11565.35774,5494.669196,206.56,217,58542.84274,0.2994,0.3034,7524411.035
12/08/2019,11575,11404,3201.425975,217.0073521,211.6058581,46394.05308,0.30345,0.30081,4200437.694
13/08/2019,11411,10904.01069,9004.000705,211.72,209.25,44882.81353,0.30087,0.29802,9117807.672
14/08/2019,10906,10064.55823,14507.83351,209.53,187.46,112923.5461,0.29835,0.2639,82132223.83
15/08/2019,10067,10324.26549,17367.802,187.28,188.43,102846.4046,0.26373,0.2647,33389015.94
16/08/2019,10324,10369,12890.55657,188.35,185.61,56216.56797,0.26462,0.26123,16511290.67
17/08/2019,10369.00205,10228,4885.639988,185.61,185.82,30177.04311,0.26122,0.26569,19699706.02
18/08/2019,10231,10332.19208,3901.853905,185.8,194.9,50218.3489,0.26583,0.28411,34788133.99
19/08/2019,10328.43423,10938,7375.350199,194.9,202.66,63066.61424,0.2841,0.28243,25676851.43
20/08/2019,10938,10792.13576,5830.919757,202.64,196.67,46525.3623,0.28268,0.2747,11736588.95
21/08/2019,10793,10146.95442,11793.40483,196.9780904,187.66,89950.23908,0.27504,0.2664,13809691.96
22/08/2019,10146,10117,6526.544739,187.66,190.6931373,53783.74686,0.26638,0.27111,11227711.31
23/08/2019,10116,10408,6391.243995,190.6931373,194.77,38015.59339,0.2708,0.2774,10155950.59
24/08/2019,10408,10154,5409.275409,194.78,191.04,38603.30315,0.27751,0.27206,10024083.66
25/08/2019,10155,10132,5206.478963,191.08,186.31,47904.26551,0.27205,0.26968,12199955.2
26/08/2019,10133,10377,8979.046207,186.37,188.73,48872.28074,0.26927,0.2704,12551707.89
27/08/2019,10377,10184,4518.472465,188.62,187.28,25068.97424,0.2704,0.26967,9787831.359
28/08/2019,10189,9727.4,10392.3197,187.3,173.21,111689.8907,0.2694,0.25658,18763433.62
29/08/2019,9727.6,9509.4,7081.078039,173.08,169.15,60983.17805,0.25652,0.2573,15471704.77
30/08/2019,9509.5,9601,3754.776402,169.42,168.63,30682.00864,0.25749,0.25598,8176799.245
31/08/2019,9600.7,9623.9,2754.095901,168.84,172.13,42059.44725,0.25603,0.25861,6178355.672
1/09/2019,9617.8,9779.1,2873.998995,172.1,171.25,42314.54654,0.25861,0.25696,8164411.493
2/09/2019,9779.1,10388,11137.62616,171.46,178.7,56478.68162,0.2571,0.26158,13569842.71
3/09/2019,10388,10641,10736.27097,178.7,179.39,79430.18544,0.26166,0.26347,10327813.61
4/09/2019,10641.04818,10590,6252.684353,179.43,175.1,47083.97075,0.2634,0.25914,12743465.54
5/09/2019,10591,10582.92652,3012.414306,175.12,174.03,59843.07986,0.259,0.25655,11420510.83
6/09/2019,10579,10305,11278.19784,174.03,169.35,62431.46576,0.25655,0.2518,10817948.74
7/09/2019,10311,10489,3376.306142,169.3,178.41,62214.99666,0.25141,0.26087,9383510.488
8/09/2019,10490,10415,3505.55885,178.41,181.96,65323.5634,0.26061,0.26296,9678086.828
9/09/2019,10412,10317,5201.533034,181.88,180.8,66892.51168,0.26279,0.25919,9559529.929
10/09/2019,10317.36382,10121,4211.665295,180.74,180.24,40095.68847,0.25926,0.25871,5340190.497
11/09/2019,10121.75849,10175,4355.633507,180.25,178.5519596,50085.85555,0.2588,0.25568,8583966.525
12/09/2019,10175,10452,4401.959778,178.67,181.35,31574.62892,0.25586,0.25512,7194138.637
13/09/2019,10450,10374,4489.034632,181.44,181.65,32921.03165,0.25475,0.25615,6769959.187
14/09/2019,10384,10380,3157.742654,181.65,189.05,65120.62379,0.2565,0.26251,13170249.45
15/09/2019,10381,10321,1885.628579,189.1023496,189.64,35681.96461,0.26261,0.26114,6484398.464
16/09/2019,10321.97637,10290,5515.606872,189.63,198.29,109163.6264,0.261,0.26253,8863701.219
17/09/2019,10289.49629,10214.0832,2942.033338,198.25,208.41,109353.603,0.26241,0.28611,54353951.69
18/09/2019,10216,10185,3339.171913,208.51,210.9,100207.5414,0.2861,0.31428,63411778.19
19/09/2019,10184.97069,10301,9766.207595,210.74,221.47,145402.0827,0.31414,0.30209,56215208.06
20/09/2019,10300.76869,10197,2514.163475,221.35,218.71,56832.6344,0.30261,0.29455,17276290.6
21/09/2019,10197.99421,10013,2979.883884,218.72,215.56,41734.92202,0.29455,0.29054,10661175.6
22/09/2019,10012.45621,10055,2753.466792,215.56,211.2558884,66864.84461,0.29039,0.2772,21863936.08
23/09/2019,10059,9702.6,5489.730408,211.75,201.29,74003.04036,0.27718,0.26785,24787710.81
24/09/2019,9708.5,8538.7,34856.37818,201.21,166.5421065,347707.2264,0.26824,0.23377,82460927.61
25/09/2019,8536.984312,8475.3,12773.96303,166.46,170.67,115217.6147,0.23399,0.2466,37282397.17
26/09/2019,8472,8105.9,15418.99302,170.81,166.77,114521.2195,0.247,0.24364,25482610.76
27/09/2019,8105.9,8213.4,7469.155896,166.76,174.61,75669.92314,0.24363,0.24295,16750435.68
28/09/2019,8213.4,8238.2,5448.660373,174.68,174.41,55901.7625,0.24308,0.243,9451798.05
29/09/2019,8238.2,8090,6143.578803,174.34,169.84,72464.36668,0.2431,0.24114,10402564.99
30/09/2019,8090,8331.135246,10919.90169,169.91,181.94,108883.3955,0.24119,0.25826,32713242.95
1/10/2019,8337.348119,8334.9,5835.9313,182.08,176.41,94815.40127,0.258,0.24888,23369162.95
2/10/2019,8333.679582,8414.87721,3448.96066,176.44,181.24,40095.7756,0.24889,0.25394,16479588.52
3/10/2019,8414.87721,8261.1,3716.239727,181.31,175.36,56874.65917,0.2543,0.24767,12960920.39
4/10/2019,8260.5,8170,3051.673512,175.3742803,176.19,38248.3213,0.248,0.25362,11890775.27
5/10/2019,8170.1,8162.5,3327.551238,176.29,176.93,39650.28573,0.25343,0.25434,35722356.45
6/10/2019,8163.2,7883,5857.572272,176.94,170.56,63876.86137,0.25434,0.25633,15448466.32
7/10/2019,7882.6,8227,8149.94723,170.49,180.66,86578.05269,0.25621,0.2768,41662047.86
8/10/2019,8226.9,8205,3466.843463,180.78,181.5,46364.99191,0.2772,0.2787,25466802.37
9/10/2019,8205,8607.5,8392.437414,181.4179272,193.51,114218.7699,0.27858,0.28202,20565237.68
10/10/2019,8607.4,8596,4319.922573,193.59,192.06,37159.19135,0.28202,0.2717,13173977.38
11/10/2019,8596,8278.2,6078.776569,192.12,181.09,109381.9177,0.27171,0.26818,13321703.96
12/10/2019,8278.4,8319.6,1707.706461,181.1,180.16,36199.9201,0.2681,0.27304,7667752.737
13/10/2019,8320.3,8304.9,4042.573485,180.07,181.57,25402.69309,0.27307,0.27786,10990710.34
14/10/2019,8304.9,8369.96485,2540.538326,181.51,187.21,41422.39449,0.27784,0.29811,24259042.63
15/10/2019,8369.96485,8191.1,3276.540473,187.22,181.02,62861.05871,0.29817,0.28882,16835226.63
16/10/2019,8191.1,8016,7077.380954,181.04,175,57621.73391,0.28946,0.28436,14964285.96
17/10/2019,8016.1,8092.3,2811.807667,175,177.49,29885.18916,0.28436,0.30237,22074124.7
18/10/2019,8092.3,7987.3,5300.351454,177.67,173.64,53712.17809,0.30249,0.29519,19236362.12
19/10/2019,7989.1,7992.9,3511.199657,173.6715874,172.59,33004.0633,0.2954,0.29307,11140638.61
20/10/2019,7993,8260.7,4866.622071,172.69,176.11,29892.38651,0.29276,0.29521,17912457.15
21/10/2019,8260.7,8243.8,3420.459923,176.1,175.0209091,38748.34681,0.2955,0.2938,9388139.785
22/10/2019,8243.880693,8054.3,3851.373026,175.0209091,171.82,38756.8722,0.2938,0.2915,17736223.36
23/10/2019,8054,7493.7,12982.85663,171.82,162.9447383,119114.7278,0.29181,0.27402,47058052.83
24/10/2019,7493.7,7453,5804.041387,162.95,161.18,99857.81574,0.2735,0.27705,16670559.12
25/10/2019,7453.1,8679.1,17096.4788,161.16,181.95,115682.7687,0.27706,0.29941,42655916.78
26/10/2019,8678.8,9270.9,32057.68092,181.9640416,180.42,177043.5351,0.29941,0.29497,39402843.88
27/10/2019,9274.9,9571.8,11105.29732,180.34,184.58,58285.4233,0.295,0.2997,15458327.8
28/10/2019,9573.9,9225.7,8992.942156,184.72,182.25,38273.50241,0.2997,0.29531,10252748.04
29/10/2019,9229.2,9445.5,6727.591428,182.24,191.29,56388.75402,0.29516,0.30276,15679221.78
30/10/2019,9446.9,9184.3,5047.695805,191.22,183.82,59207.56734,0.30278,0.29563,8892919.656
31/10/2019,9184.4,9185.6,5668.140461,183.79,183.04,30141.55295,0.29604,0.2957,8575906.322
1/11/2019,9186.6,9289,4090.95706,183.04,183.98,25234.74967,0.29554,0.29312,8522137.085
2/11/2019,9288.4,9332.1,3657.491091,184,183.92,24613.47408,0.29329,0.29599,13168640.23
3/11/2019,9332.2,9222.4,3616.53932,183.9286361,182.19,21003.0878,0.29625,0.29119,11496646.92
4/11/2019,9223,9440,7470.059783,182.17,186.87,47667.44322,0.29133,0.3005,12851561.88
5/11/2019,9441.2,9339.7,3412.666663,186.79,189.437072,48153.98519,0.30048,0.3016,16171018.75
6/11/2019,9337.19572,9352.8,3469.757471,189.23,191.51,37914.00235,0.30163,0.3109,17939851.52
7/11/2019,9354.9295,9209.2,3746.143135,191.61,186.65,28328.40565,0.31081,0.29071,42908372.08
8/11/2019,9212.5,8782.3,7864.404383,186.67,184,45813.06014,0.29071,0.27613,28554001.78
9/11/2019,8782.3,8828.047204,1958.390394,183.9982933,185.14,17392.62146,0.276,0.28028,12029540.08
10/11/2019,8828.047204,9069.7,4635.786869,185.03,189.68,58269.38037,0.28035,0.27978,13298608.97
11/11/2019,9069.7,8737.715159,4243.05004,189.68,185.13,29586.91957,0.27978,0.2747,19621567.42
12/11/2019,8737.715159,8830,3499.814701,185.12,187.3389274,26464.9311,0.27465,0.27249,20289673.76
13/11/2019,8830,8801.1,1340.100282,187.31,188.69,23716.19483,0.27272,0.27295,9500139.605
14/11/2019,8800.993697,8655.7,3304.675936,188.7,185,19912.11097,0.27287,0.26869,19783789.59
15/11/2019,8655.4,8495.832625,5184.146755,185.056168,180.23,70351.82311,0.26824,0.26112,25322533.98
16/11/2019,8495.8,8523.5,1534.610947,180.22,182.97,16343.85744,0.26088,0.26325,6037423.053
17/11/2019,8523.4,8537.3,2837.153673,182.97,184.53,19994.58352,0.26323,0.26409,9402178.422
18/11/2019,8537,8219.5,6362.436607,184.48,178.55,40770.78937,0.2641,0.25245,20039390.87
19/11/2019,8219.5,8164.9,3703.897242,178.62,176.46,24581.35475,0.25246,0.25486,22432140.69
20/11/2019,8164.9,8126.4,2060.185832,176.46,175.27,20410.52798,0.25501,0.2508,15384094.88
21/11/2019,8126.4,7671.1,9890.619938,175.26,162.05,77336.15348,0.2508,0.24501,19335501.68
22/11/2019,7671.1,7317.2,19368.4153,162.03,150.56,131281.9575,0.24501,0.23126,35336040.62
